"make_model","city_mpg","hwy_mpg","eng_type","torque","hp","cyl","displacement","drivetrain","transmission","weight"
Acura ILX 2.0L 4dr,24,35,Gas,140,150,4,2.0,FWD,Auto,2955
Acura ILX Hybrid 4d,39,38,Hybrid,127,111,4,1.5,FWD,Auto,2959
Buick Verano Convenience Group 4dr,21,32,Flexible Fuel,171,180,4,2.4,FWD,Auto,3300
Buick Verano Leather Group 4dr,21,32,Flexible Fuel,171,180,4,2.4,FWD,Auto,3300
Buick Verano Premium Group 4dr,21,30,Gas,260,250,4,2.0,FWD,Auto,3300
Chevrolet Cruze Diesel 4dr 1S,27,46,Diesel,258,148,4,2.0,FWD,Auto,3475
Chrysler 200 Limited 4dr,19,29,Gas,260,283,6,3.6,FWD,Auto,3575
Chrysler 200 Touring convertible,18,29,Gas,260,283,6,3.6,FWD,Auto,3898
Dodge Avenger R/T 4dr,19,29,Flexible Fuel,260,283,6,3.6,FWD,Auto,3607
Dodge Charger SE RWD 4dr,18,27,Gas,260,292,6,3.6,RWD,Auto,3961
FIAT 500 Abarth convertibl,28,34,Gas,170,160,4,1.4,FWD,Manual,2545
Ford Fusion SE Hybrid 4dr,47,47,Hybrid,129,141,4,2.0,FWD,Auto,3639
Ford Taurus SE 4dr,19,29,Gas,270,288,6,3.5,FWD,Auto,4054
Ford Taurus SEL 4dr,19,29,Gas,270,288,6,3.5,FWD,Auto,4054
Honda Accord EX 2dr,26,34,Gas,181,185,4,2.4,FWD,Auto,3298
Honda Accord EX 2d,24,34,Gas,181,185,4,2.4,FWD,Manual,3229
Honda Accord EX 4dr,27,36,Gas,181,185,4,2.4,FWD,Auto,3336
Honda Accord EX 4d,24,34,Gas,181,185,4,2.4,FWD,Manual,3267
Honda Accord EX-L 2dr,26,34,Gas,181,185,4,2.4,FWD,Auto,3320
Honda Accord EX-L 4dr,27,36,Gas,181,185,4,2.4,FWD,Auto,3358
Honda Accord Hybrid 4d,50,45,Hybrid,122,196,4,2.0,FWD,Auto,3550
Honda Accord LX-S 2dr,26,34,Gas,181,185,4,2.4,FWD,Auto,3252
Honda Accord Sport 4dr,26,34,Gas,182,196,4,2.4,FWD,Auto,3342
Honda Civic Hybrid 4dr,44,44,Hybrid,127,110,4,1.5,FWD,Auto,2873
Honda Civic Hybrid 4dr w/ Leather,44,44,Hybrid,127,110,4,1.5,FWD,Auto,2873
Honda Civic Hybrid 4dr w/ Leather & Navi,44,44,Hybrid,127,110,4,1.5,FWD,Auto,2873
Honda Civic Hybrid 4dr w/Navi,44,44,Hybrid,127,110,4,1.5,FWD,Auto,2873
Honda Civic Si 2dr w/ Navi & summer tire,22,31,Gas,170,201,4,2.4,FWD,Manual,3002
Honda Civic Si 4dr w/Nav,22,31,Gas,170,201,4,2.4,FWD,Manual,3002
Kia Optima SX 4dr,23,34,Gas,181,192,4,2.4,FWD,Auto,3327
Kia Optima SX Turbo 4dr,20,31,Gas,269,274,4,2.0,FWD,Auto,3622
Mazda3 i Grand Touring 4dr hatch,30,40,Gas,150,155,4,2.0,FWD,Auto,2873
Mazda3 s Grand Touring 4dr,28,39,Gas,185,184,4,2.5,FWD,Auto,2982
Mazda3 s Grand Touring 4dr hatch,27,37,Gas,185,184,4,2.5,FWD,Auto,3002
Mazda3 s Touring 4dr,28,39,Gas,185,184,4,2.5,FWD,Auto,2982
Mazda3 s Touring 4dr hatch,27,37,Gas,185,184,4,2.5,FWD,Auto,3002
Mazda6 i Touring 4dr,26,38,Gas,185,184,4,2.5,FWD,Auto,3232
Mini Cooper Clubman S 2dr hatch,26,35,Gas,177,181,4,1.6,FWD,Manual,2833
Mini Cooper Convertible,28,35,Gas,114,121,4,1.6,FWD,Manual,2701
Mini Cooper Convertible S,26,35,Gas,177,181,4,1.6,FWD,Manual,2811
Mini Cooper Countryman S 4dr hatc,26,32,Gas,177,181,4,1.6,FWD,Manual,3053
Mini Cooper Countryman S ALL4 AWD 4dr hatc,25,31,Gas,177,181,4,1.6,AWD,Manual,3208
Mini Cooper Coupe S 2d,26,35,Gas,177,181,4,1.6,FWD,Manual,2679
Mini Cooper Paceman S 2dr hatc,26,32,Gas,177,181,4,1.6,FWD,Manual,3070
Mini Cooper Paceman S ALL4 AWD 2dr hatc,25,31,Gas,177,181,4,1.6,AWD,Manual,3210
Mini Cooper Roadste,28,35,Gas,114,121,4,1.6,FWD,Manual,2635
Mini Cooper Roadster ,26,35,Gas,177,181,4,1.6,FWD,Manual,2745
Mitsubishi Lancer Ralliart AWD 4dr,18,25,Gas,253,237,4,2.0,AWD,Auto,3461
Nissan Altima 2.5 SL 4dr,27,38,Gas,180,182,4,2.5,FWD,Auto,3230
Nissan Altima 3.5 S 4dr,22,31,Gas,251,270,6,3.5,FWD,Auto,3363
Nissan Altima 3.5 SV 4dr,22,31,Gas,251,270,6,3.5,FWD,Auto,3394
Subaru Impreza WRX AWD 4d,19,25,Gas,244,265,4,2.5,AWD,Manual,3208
Subaru Impreza WRX AWD 4dr hatc,19,25,Gas,244,265,4,2.5,AWD,Manual,3208
Subaru Impreza WRX Premium AWD 4d,19,25,Gas,244,265,4,2.5,AWD,Manual,3241
Subaru Impreza WRX Premium AWD 4dr hatc,19,25,Gas,244,265,4,2.5,AWD,Manual,3241
Subaru Legacy 2.5i Limited 4dr,24,32,Gas,174,173,4,2.5,AWD,Auto,3424
Subaru Legacy 2.5i Limited 4dr (PZEV,24,32,Gas,174,173,4,2.5,AWD,Auto,3424
Subaru Legacy 2.5i Sport 4dr,24,32,Gas,174,173,4,2.5,AWD,Auto,3439
Subaru Legacy 2.5i Sport 4dr (PZEV,24,32,Gas,174,173,4,2.5,AWD,Auto,3439
Subaru Legacy 3.6R Limited 4dr,18,25,Gas,247,256,6,3.6,AWD,Auto,3545
Toyota Camry LE Hybrid 4dr,43,39,Hybrid,156,156,4,2.5,FWD,Auto,3435
Toyota Camry SE Sport 4dr,25,35,Gas,170,178,4,2.5,FWD,Auto,3240
Toyota Camry V6 SE 4dr,21,31,Gas,248,268,6,3.5,FWD,Auto,3420
Toyota Camry XLE 4dr,25,35,Gas,170,178,4,2.5,FWD,Auto,3245
Toyota Camry XLE Hybrid 4dr,40,38,Hybrid,156,156,4,2.5,FWD,Auto,3525
Toyota Prius Four 4dr hatch,51,48,Hybrid,105,98,4,1.8,FWD,Auto,3042
Toyota Prius Three 4dr hatch,51,48,Hybrid,105,98,4,1.8,FWD,Auto,3042
Toyota Prius Two 4dr hatch,51,48,Hybrid,105,98,4,1.8,FWD,Auto,3042
Volkswagen Beetle 2dr hatch w/Sun Roof Sound & Navigation,22,29,Gas,177,170,5,2.5,FWD,Auto,3036
Volkswagen Beetle 2dr hatch w/Sun Roof Sound & Navigatio,22,31,Gas,177,170,5,2.5,FWD,Manual,2987
Volkswagen Beetle convertible,21,27,Gas,177,170,5,2.5,FWD,Auto,3206
Volkswagen Beetle convertible w/Sound & Navigation,21,27,Gas,177,170,5,2.5,FWD,Auto,3206
Volkswagen Beetle convertible w/Technology,21,27,Gas,177,170,5,2.5,FWD,Auto,3206
Volkswagen Beetle R-Line 2dr hatch,24,30,Gas,207,210,4,2.0,FWD,Auto,3104
Volkswagen Beetle R-Line 2dr hatc,23,31,Gas,207,210,4,2.0,FWD,Manual,3056
Volkswagen Beetle R-Line 2dr hatch w/Sun Roof & Sound,24,30,Gas,207,210,4,2.0,FWD,Auto,3104
Volkswagen Beetle R-Line 2dr hatch w/Sun Roof & Soun,23,31,Gas,207,210,4,2.0,FWD,Manual,3056
Volkswagen Beetle R-Line convertibl,23,31,Gas,207,210,4,2.0,FWD,Manual,3238
